,Store,Address,City,Province,PostalCode,Phone Number,lat,lng
20,665,"Unit 107, 2985 Northern Avenue",Coquitlam,BC,V3B0B9,604-464-7726,49.2811326,-122.795678
21,644,"Unit 7, 1599 Cliff Avenue",Courtenay,BC,V9N2K6,250-334-3541,49.6838898,-124.9927538
22,613,1924B. 8Th St N.,Cranbrook,BC,V1C3N3,250-426-7066,49.5195176,-115.7539433
23,657,"#9, 2628 Beverly St.",Duncan,BC,V9L5C7,250-746-6041,48.7844607,-123.7014848
24,695,"D105, 1180 Columbia Street West",Kamloops,BC,V2C6R6,250-372-7108,50.6656558,-120.3546928
25,680,"# 1506, 2271 Highway 97 North",Kelowna,BC,V1Y6H2,250-861-5665,49.8818055,-119.4378677
26,660,"Unit #2, 8948 202Nd Street",Langley,BC,V1M4A7,604-881-4750,49.1655203,-122.6611899
27,662,#340 - 20202 - 66Th Avenue,Langley,BC,V2Y1M9,604-514-3788,49.1208084,-122.6629697
28,620,312 - 60 Commercial Street,Nanaimo,BC,V9R5G4,250-754-2212,49.1647466,-123.9364158
29,648,1430 Lonsdale Avenue,North Vancouver,BC,V7M2J1,604-981-0400,49.3215548,-123.0721517
30,650,"382 C East Island Highway, P.O. Box 338",Parksville,BC,V9P2G5,250-248-9922,49.3185653,-124.3009948
31,634,#102 - 4152 Redford Street,Port Alberni,BC,V9Y3R5,250-723-2821,49.244958,-124.796262
32,701,#106 - 4801 Joyce Avenue,Powell River,BC,V8A3B7,604-485-7115,49.8466362,-124.5216984
33,636,Unit 105 - 3055 Massey Drive,Prince George,BC,V2N2S9,250-562-1185,53.8978357,-122.7775221
34,626,674 Primrose St.,Qualicum Beach,BC,V9K2R8,250-752-5636,49.3474578,-124.4440788
35,671,610 B Newman Road,Quesnel,BC,V2J6Z8,250-747-4747,52.9697841,-122.4406242
36,642,"# 413, 5300 No. 3 Road",Richmond,BC,V6X2X9,604-273-0555,49.1755152,-123.1324696
37,688,1306 - 6551 No. 3 Rd.,Richmond,BC,V6Y2B6,604-273-0637,49.1657062,-123.1378666
38,654,#101 - 2423 Beacon Avenue,Sidney,BC,V8L1X5,250-656-1413,48.6488712,-123.3950414
39,602,#1146 - 10355 - 152 Street,Surrey,BC,V3R7C1,604-589-5350,49.189549,-122.8043112
40,653,Unit 10 2438 - 160Th Street So.,Surrey,BC,V3S0C8,604-541-2645,49.04685,-122.7782478
41,607,#1202 D-56Th Street,Tsawwassen,BC,V4L2A4,604-943-7844,49.0248804,-123.0675001
42,664,788 West Broadway,Vancouver,BC,V5Z1G8,604-873-2448,49.2631274,-123.1214658
43,667,805 West Pender Street,Vancouver,BC,V6C1K6,604-681-7202,49.285495,-123.1158582
44,674,1813 West 1St Ave,Vancouver,BC,V6J5B8,604-732-5487,49.2708367,-123.1469066
45,691,#760-4900 27Th Street,Vernon,BC,V1T7G7,250-542-2239,50.28197,-119.2667031
46,655,#109 - 693 Hoffman Road,Victoria,BC,V9B4X1,250-478-0213,48.4484955,-123.4945795
47,656,707 View Street,Victoria,BC,V8W1J9,250-953-8000,48.4252592,-123.364698
48,668,#230 - 5313 Headland Drive,West Vancouver,BC,V7W3C5,604-923-4747,49.3502615,-123.2541282
49,700,1685 Marine Drive,West Vancouver,BC,V7V1J2,604-925-2110,49.3287711,-123.1599197
50,516,450 Union Street,Fredericton,NB,E3A3M8,506-459-1222,45.9711348,-66.635371
51,811,350 Big Bay Road,Barrie,ON,L4N8A8,705-721-1220,44.354604,-79.6609019
52,803,"Unit # 1, 5 Clair Road West",Guelph,ON,N1L0A6,519-763-7383,43.5004311,-80.1911244
53,826,"16821 On-12, Unit 2",Midland,ON,L4R0A9,705-526-0022,44.7306916,-79.8741868
54,827,"295 Wellington St, #3C",Bracebridge,ON,P1L1P3,705-645-8861,45.0436197,-79.322026
55,828,"22 Dunham Drive, #105",Allison,ON,L9R0G1,705-435-4358,44.1623931,-79.8260431
56,829,4 Pine River Road,Angus,ON,L0M1B2,705-424-4883,44.320286,-79.8875827
57,831,70 Yorkville Avenue,Toronto,ON,M5R1B9,416-924-4384,43.6715929,-79.3908687
58,831,"1969 16Th St E, Unit F2",Owen Sound,ON,N4K5N3,519-376-4242,44.5748314,-80.911009
59,806,A-3039 Wonderland Road South,London,ON,N6L1R4,519-644-1300,42.9380146,-81.2819066
60,808,Unit #5 1380 Major Mackenzie Drive Building 1,Maple,ON,L6A4H6,905-303-9901,43.8621991,-79.4845505
61,804,648B Sheppard Ave E,North York,ON,M2K1B7,416-226-3937,43.7683711,-79.3816406
62,807,#3 - 1359 Wilson Road North,Oshawa,ON,L1K2Z5,905-723-2999,43.9380708,-78.8576834
63,812,438 Richmond Road,Ottawa,ON,K2A0G2,613-722-4747,45.3898072,-75.7581317
64,802,"# 108, 95 King Street South",Waterloo,ON,N2J5A2,519-725-3937,43.463184,-80.5222262
65,815,# 4 - 21 Seaway Drive,Welland,ON,L3C7J5,905-735-0680,43.0134759,-79.247758
66,132,213 'Avenue Du Pont Sud,Alma,QC,G8B2T7,418-669-4747,48.5434504,-71.6436599
67,122,82 1Ère Avenue Est,Amos,QC,J9T4B2,819-727-2017,48.5715292,-78.1134042
68,1,625 Laflèche (Boul),Baie-Comeau,QC,G5C1C5,418-589-4747,49.2015592,-68.2545088
69,319,2 Chemin De L'Equerre,Baie-Saint-Paul,QC,G3Z2Y5,418-435-2528,47.4487586,-70.5230769
70,282,50 Boul. St-Charles,Beaconsfield,QC,H9W2X3,514-694-7550,45.432242,-73.8490111
71,308,"900 Boul. Raymond, Suite",Beauport,QC,G1B3g3,418-666-1800,46.8996881,-71.190341
72,36,"515 Boul. Sir Wilfrid-Laurier, Local 101",Beloeil,QC,J3G4H8,450-464-0000,45.5601503,-73.2076444
73,170,"757 Boul Cure Labelle, Local B",Blainville,QC,J7C2K4,450-434-4747,45.665831,-73.868807
74,378,366 Chemin De La Grande Cote,Boisbriand,QC,J7G1B1,450-433-5655,45.6071867,-73.8330053
75,419,"540 Rue Avaugour, Local 1030",Boucherville,QC,J4B0G6,450-356-3565,45.5879946,-73.4291214
76,15,5791'Boul. Taschereau,Brossard,QC,J4Z1A5,450-466-9978,45.4781416,-73.4648797
77,369,"900 Boul. De Perigny, Local 103",Chambly,QC,J3L1W6,450-447-4748,45.4530863,-73.3019829
78,283,110B Boul. St-Jean-Baptiste,Chateauguay,QC,J6K3A8,450-691-5060,45.3587065,-73.7154503
79,131,466 3E Rue,Chibougamau,QC,G8P2X6,418-748-2611,49.913193,-74.3622745
80,376,1120 Boul Talbot,Chicoutimi,QC,G7H7R2,418-549-9000,48.4100512,-71.0548265
81,50,600-106Boul. Notre Dame,Clermont,QC,G4A1G3,418-665-4747,47.6907637,-70.2243072
82,351,602 Rue Sud,Cowansville,QC,J2K2Y1,450-263-3341,45.2027144,-72.7474454
83,315,1245 Boulevard Wallberg,Dolbeau-Mistassini,QC,G8L1H3,418-276-5262,48.8773908,-72.2280056
84,317,"299 Le Carrefour, Local 44",Fermont,QC,G0G1J0,418-287-5959,52.7964666,-67.0813006
85,428,101-550 Boul. Wilfrid-Hamel,Fleur de Lys,QC,G1M2S6,418-525-2020,46.823229,-71.2504385
86,21,25 Route 138 Est,Forestville,QC,G0T1E0,418-587-4747,48.7378672,-69.0883571
87,399,"720Montee Paiement, #101",Gatineau,QC,J8R4A3,819-643-4928,45.5045796,-75.6752758
88,408,573 5E Rue,Grand-Mere,QC,G9T4R9,819-538-1636,46.6153191,-72.6904675
89,316,1280 Rue De La Digue,Havre-Saint-Pierre,QC,G0G1P0,418-538-3434,50.2447608,-63.5928731
90,354,"715 Boul D'Iberville, Suite 100",Iberville,QC,J2X4S7,450-346-6229,45.3062647,-73.2306471
91,379,3460 Boul St-François,Jonquiere,QC,G7X8L3,418-547-4544,48.4139494,-71.2250288
92,292,16981 Transcanadienne,Kirkland,QC,H9H5J1,514-695-0990,44.9185912,-76.2543235
93,358,"615 4E Avenue, Local 100",La Pocatiere,QC,G0R1Z0,418-856-1522,47.3695149,-70.0359336
94,123,49 5E Avenue Est,La Sarre,QC,J9Z1L1,819-339-5656,48.8051751,-79.2025076
95,310,511 Rue Principale,Lachute,QC,J8H1Y6,450-562-5281,45.6571925,-74.3346964
96,33,1775 Avenue Pierre-Peladeau,Laval,QC,H7T2Y5,450-687-4233,45.5617181,-73.7421969
97,335,633Boul. Cure-Labelle,Laval Sainte-Rose,QC,H7L5R7,450-622-2725,45.5900279,-73.7874682
98,504,2179 Boul. Des Laurentides,Laval Vimont,QC,H7K2J3,450-663-0140,45.6114539,-73.7360367
99,318,287 Route 138 Local 6,Les Escoumins,QC,G0T1K0,418-233-2480,48.3504516,-69.4056191
100,9,2713 Boul. Masson,Les Saules,QC,G1P1J5,418-871-4621,46.8106106,-71.3208647
101,427,190-2700 Boul. Étienne-Dallaire,Levis,QC,G6V8R8,418-837-0777,46.7915419,-71.1671408
102,2,100 Principale Sud,Maniwaki,QC,J9E3L4,819-449-6099,46.3762997,-75.9839436
103,321,597 Du Phare Est,Matane,QC,G4W4L6,418-562-5111,48.8515507,-67.5077439
104,311,13980 Rue Saint-Simon,Mirabel (Saint-Canut),QC,J7N1P4,450-436-8616,45.7052569,-74.0967858
105,345,"370 Boul. Sir Wilfrid Laurier, Local 101",Mont St-Hilaire,QC,J3H5V3,450-464-6565,45.5634165,-73.1854103
106,201,497 Rue Du Pont,Mont-Laurier,QC,J9L1S4,819-623-2363,46.5521887,-75.4994669
107,401,2 Boul Tache Est,Montmagny,QC,G5V1B7,418-241-5252,46.981485,-70.563735
108,226,6402 Rue Sherbrooke Est,Montreal,QC,H1N3P6,514-251-4747,45.5805324,-73.5435648
109,227,8590 Rue Hochelaga,Montreal,QC,H1L2M3,514-353-4747,45.599898,-73.5204874
110,291,4130 Rue St-Denis,Montreal,QC,H2W2M5,514-842-2020,45.5211158,-73.5772692
111,424,"6100 Avenue Du Boisé, Bureau 100",Montreal,QC,H3S2W1,514-731-1231,45.510383,-73.6219684
112,327,138 Boul. Perron Ouest,New Richmond,QC,G0C2B0,418-392-6786,48.1623636,-65.8604492
113,160,100 Avenue Bernard Ouest,Outremont,QC,H2V1V3,514-495-2571,45.5259248,-73.6030512
114,207,301 Papineau,Papineauville,QC,J0V1R0,819-427-5838,45.6170507,-75.0192996
115,46,"8 Boul. Des Iles, Local 7",Port-Cartier,QC,G5B2J4,418-766-4747,50.0205483,-66.8822654
116,366,1305 Chemin Ste-Foy,Quebec,QC,G1S4N5,418-681-3578,46.7949357,-71.2532589
117,395,"211 Boul Brien, Local 9",Repentigny,QC,J6A6M4,450-582-3838,45.7478186,-73.4615876
118,320,350 Avenue De La Cathedrale,Rimouski,QC,G5L5K3,418-723-3436,48.4448909,-68.517149
119,130,755 Boul. St-Joseph,Roberval,QC,G8H2L4,418-275-4747,48.5160617,-72.2216746
120,120,75 Rue Mgr Tessier Ouest,Rouyn-Noranda,QC,J9X2S5,819-764-4747,48.2388217,-79.0222615
121,352,"212-A Route 138, Suite 101",Saint-Augustin-de-Desmaures,QC,G3A0G1,418-878-0800,46.7482729,-71.4406203
122,405,1520 Rue Montarville,Saint-Bruno,QC,J3V3T7,450-653-2011,45.5278242,-73.3409937
123,382,1200 Rue De La Faune,Saint-Emile,QC,G3E1T2,418-847-8885,46.8772186,-71.3252416
124,362,769 Boul Arthur-Sauve,Saint-Eustache,QC,J7R4K3,450-473-4740,45.5807651,-73.9194617
125,314,6900 Boul. Cousineau,Saint-Hubert,QC,J3Y8Z4,450-656-8684,45.492344,-73.4026744
126,400,3200 Boul Laframboise,Saint-Hyacinthe,QC,J2S4Z5,450-773-2210,45.6385835,-72.9661524
127,336,"1018Rue De La Prairie Ouest, Suite 103",Saint-Jean-Chrysostome,QC,G6Z0A7,418-839-4556,46.7289562,-71.2081637
128,396,43 De Gaspe Est,Saint-Jean-Port-Joli,QC,G0R3G0,418-598-6128,47.2167669,-70.2681721
129,363,885 Du Seminaire Nord,Saint-Jean-sur-Richelieu,QC,J3A1J2,450-349-4666,45.3311141,-73.2670329
130,503,470 Rue Victoria,Saint-Lambert,QC,J4P2J4,450-671-9295,45.5018715,-73.5117822
131,341,64 Principale,Saint-Pamphile,QC,G0R3X0,418-356-5001,46.9616963,-69.7796043
132,307,"5320 Saint-Laurent, Local 170",Sainte-Catherine,QC,J5C1A7,450-635-2274,45.3998574,-73.5727939
133,353,"31 Boul. Samson, Local 102",Sainte-Dorothee,QC,H7X3S7,450-689-4747,45.5223413,-73.7871341
134,510,42 Rue Ste-Cecile,Salaberry-de-Valleyfield,QC,J6T1L7,450-373-2440,45.25576,-74.130585
135,290,660 Boul. Laure,Sept-Iles,QC,G4R1X9,418-962-4848,50.2168707,-66.379898
136,407,2025 105E Avenue,Shawinigan,QC,G9P1N6,819-536-4425,46.5207819,-72.7460694
137,145,"2140 King Est, Suite 112",Sherbrooke,QC,J1G5G6,819-822-1209,45.410795,-71.8419717
138,415,2005 Rue King Ouest,Sherbrooke,QC,J1J2E6,819-562-7095,45.3987164,-71.9223305
139,421,"4777 Boul Bourque, Bureau 100",Sherbrooke,QC,J1N2G6,819-564-8282,45.3737184,-71.9846886
140,509,173 Rue Du Roi,Sorel-Tracy,QC,J3P4N6,450-742-9455,46.0398822,-73.1141804
141,34,"256 Rue De Montigny, Local 103",St-Jerome,QC,J7Z5P9,450-438-4647,45.7669911,-74.0002597
142,426,25 Boul St-Joseph,Ste-Therese,QC,J7E4X5,450-430-2000,45.6389118,-73.8431102
143,377,1602 Chemin Gascon,Terrebonne,QC,J6X3A2,450-492-6888,45.714825,-73.654919
144,413,455 Rue Des Forges,Trois-Rivieres,QC,G9A2H6,819-375-2635,46.3421884,-72.5447768
145,297,"1800 Av Industrielle, Local 100",Val-Belair,QC,G3K1L8,418-843-3710,46.8577522,-71.4122149
146,332,201 Chemin Du Petit-Bois,Varennes,QC,J3X1P7,450-652-3913,45.6704713,-73.427055
147,10,169 Avenue St-Charles,Vaudreuil-Dorion,QC,J7V2L2,450-455-4551,45.3880102,-74.0136139
148,140,157 Notre-Dame Est,Victoriaville,QC,G6P3Z8,819-758-5252,46.0567629,-71.9555492
149,344,26A Rue Des Oblats Nord,Ville-Marie,QC,J9V1J3,819-622-0909,47.3343905,-79.436456
